id	label	type	parent
ID	LABEL	TYPE	C %
BFO:0000040	material entity	owl:Class
PR:000000001	protein	owl:Class	material entity
PR:000050174	immunoglobulin heavy chain protein	owl:Class	protein
PR:000050175	immunoglobulin light chain protein	owl:Class	protein
PR:000050181	kappa	owl:Class	immunoglobulin light chain protein	Ig kappa light chain protein	light
PR:000050182	lambda	owl:Class	immunoglobulin light chain protein	Ig lambda light chain protein	light
OBI:0100026	organism	owl:Class	material entity
NCBITaxon:7742	Vertebrata	owl:Class	organism
NCBITaxon:10239	Virus	owl:Class	organism
NCBITaxon:11118	Coronavirus	owl:Class	Virus
NCBITaxon:694009	Severe acute respiratory syndrome-related coronavirus	owl:Class	Coronavirus
NCBITaxon:2697049	Severe acute respiratory syndrome coronavirus 2	owl:Class	Severe acute respiratory syndrome-related coronavirus
BFO:0000015	process	owl:Class
OBI:0000011	planned process	owl:Class	process
OBI:0000070	assay	owl:Class	planned process
ONTIE:qualitiative-measure	qualitative measure	owl:Class
