id	label	type	parent
ID	LABEL	TYPE	C %
PR:P01876	IGHA1	owl:Class	protein
PR:P01877	IGHA2	owl:Class	protein
PR:P01880	IGHD	owl:Class	protein
PR:P0DOY5	IGHD1-1	owl:Class	protein
PR:P01854	IGHE	owl:Class	protein
PR:P01857	IGHG1	owl:Class	protein
PR:P01859	IGHG2	owl:Class	protein
PR:P01860	IGHG3	owl:Class	protein
PR:P01861	IGHG4	owl:Class	protein
PR:A0A0C4DH62	IGHJ1	owl:Class	protein
PR:P01871	IGHM	owl:Class	protein
PR:A0A0C4DH31	IGHV1-18	owl:Class	protein
PR:P23083	IGHV1-2	owl:Class	protein
PR:A0A0C4DH33	IGHV1-24	owl:Class	protein
PR:A0A0C4DH29	IGHV1-3	owl:Class	protein
PR:A0A0A0MS14	IGHV1-45	owl:Class	protein
PR:P01743	IGHV1-46	owl:Class	protein
PR:A0A0C4DH39	IGHV1-58	owl:Class	protein
PR:P01742	IGHV1-69	owl:Class	protein
PR:A0A0G2JMI3	IGHV1-69-2	owl:Class	protein
PR:A0A0B4J2H0	IGHV1-69D	owl:Class	protein
PR:P0DP01	IGHV1-8	owl:Class	protein
PR:A0A0B4J1V2	IGHV2-26	owl:Class	protein
PR:P01817	IGHV2-5	owl:Class	protein
PR:P01814	IGHV2-70	owl:Class	protein
PR:P01762	IGHV3-11	owl:Class	protein
PR:P01766	IGHV3-13	owl:Class	protein
PR:A0A0B4J1V0	IGHV3-15	owl:Class	protein
PR:A0A0C4DH32	IGHV3-20	owl:Class	protein
PR:A0A0B4J1V1	IGHV3-21	owl:Class	protein
PR:P01764	IGHV3-23	owl:Class	protein
PR:P01768	IGHV3-30	owl:Class	protein
PR:P0DP02	IGHV3-30-3	owl:Class	protein
PR:P0DP03	IGHV3-30-5	owl:Class	protein
PR:P01772	IGHV3-33	owl:Class	protein
PR:A0A0B4J1X8	IGHV3-43	owl:Class	protein
PR:P0DP04	IGHV3-43D	owl:Class	protein
PR:P01763	IGHV3-48	owl:Class	protein
PR:A0A0A0MS15	IGHV3-49	owl:Class	protein
PR:P01767	IGHV3-53	owl:Class	protein
PR:A0A075B6Q5	IGHV3-64	owl:Class	protein
PR:A0A0C4DH42	IGHV3-66	owl:Class	protein
PR:P01780	IGHV3-7	owl:Class	protein
PR:A0A0B4J1Y9	IGHV3-72	owl:Class	protein
PR:A0A0B4J1V6	IGHV3-73	owl:Class	protein
PR:A0A0B4J1X5	IGHV3-74	owl:Class	protein
PR:P01782	IGHV3-9	owl:Class	protein
PR:A0A0C4DH34	IGHV4-28	owl:Class	protein
PR:A0A087WSY4	IGHV4-30-2	owl:Class	protein
PR:P0DP06	IGHV4-30-4	owl:Class	protein
PR:P0DP07	IGHV4-31	owl:Class	protein
PR:P06331	IGHV4-34	owl:Class	protein
PR:P0DP08	IGHV4-38-2	owl:Class	protein
PR:P01824	IGHV4-39	owl:Class	protein
PR:A0A075B6R2	IGHV4-4	owl:Class	protein
PR:P01825	IGHV4-59	owl:Class	protein
PR:A0A0C4DH41	IGHV4-61	owl:Class	protein
PR:A0A0J9YXX1	IGHV5-10-1	owl:Class	protein
PR:A0A0C4DH38	IGHV5-51	owl:Class	protein
PR:A0A0B4J1U7	IGHV6-1	owl:Class	protein
PR:A0A0J9YVY3	IGHV7-4-1	owl:Class	protein
PR:A0A0A0MT89	IGKJ1	owl:Class	protein
PR:A0A0C4DH73	IGKV1-12	owl:Class	protein
PR:P0DP09	IGKV1-13	owl:Class	protein
PR:P04430	IGKV1-16	owl:Class	protein
PR:P01599	IGKV1-17	owl:Class	protein
PR:A0A075B6S5	IGKV1-27	owl:Class	protein
PR:P01594	IGKV1-33	owl:Class	protein
PR:P01597	IGKV1-39	owl:Class	protein
PR:P01602	IGKV1-5	owl:Class	protein
PR:A0A0C4DH72	IGKV1-6	owl:Class	protein
PR:A0A0C4DH67	IGKV1-8	owl:Class	protein
PR:A0A0C4DH69	IGKV1-9	owl:Class	protein
PR:P01611	IGKV1D-12	owl:Class	protein
PR:A0A0B4J2D9	IGKV1D-13	owl:Class	protein
PR:P01601	IGKV1D-16	owl:Class	protein
PR:A0A075B6S4	IGKV1D-17	owl:Class	protein
PR:P01593	IGKV1D-33	owl:Class	protein
PR:P04432	IGKV1D-39	owl:Class	protein
PR:A0A0B4J1Z2	IGKV1D-43	owl:Class	protein
PR:A0A087WSZ0	IGKV1D-8	owl:Class	protein
PR:A0A0C4DH68	IGKV2-24	owl:Class	protein
PR:A0A075B6P5	IGKV2-28	owl:Class	protein
PR:A2NJV5	IGKV2-29	owl:Class	protein
PR:P06310	IGKV2-30	owl:Class	protein
PR:A0A087WW87	IGKV2-40	owl:Class	protein
PR:A0A0A0MRZ7	IGKV2D-26	owl:Class	protein
PR:P01615	IGKV2D-28	owl:Class	protein
PR:A0A075B6S2	IGKV2D-29	owl:Class	protein
PR:A0A075B6S6	IGKV2D-30	owl:Class	protein
PR:P01614	IGKV2D-40	owl:Class	protein
PR:P04433	IGKV3-11	owl:Class	protein
PR:P01624	IGKV3-15	owl:Class	protein
PR:P01619	IGKV3-20	owl:Class	protein
PR:A0A0A0MRZ8	IGKV3D-11	owl:Class	protein
PR:A0A087WSY6	IGKV3D-15	owl:Class	protein
PR:A0A0C4DH25	IGKV3D-20	owl:Class	protein
PR:A0A0C4DH55	IGKV3D-7	owl:Class	protein
PR:P06312	IGKV4-1	owl:Class	protein
PR:P06315	IGKV5-2	owl:Class	protein
PR:A0A0C4DH24	IGKV6-21	owl:Class	protein
PR:A0A0A0MT36	IGKV6D-21	owl:Class	protein
PR:A0A0A0MT76	IGLJ1	owl:Class	protein
PR:A0A0B4J1U3	IGLV1-36	owl:Class	protein
PR:P01703	IGLV1-40	owl:Class	protein
PR:P01699	IGLV1-44	owl:Class	protein
PR:P01700	IGLV1-47	owl:Class	protein
PR:P01701	IGLV1-51	owl:Class	protein
PR:A0A075B6I4	IGLV10-54	owl:Class	protein
PR:P01706	IGLV2-11	owl:Class	protein
PR:P01704	IGLV2-14	owl:Class	protein
PR:A0A075B6J9	IGLV2-18	owl:Class	protein
PR:P01705	IGLV2-23	owl:Class	protein
PR:P01709	IGLV2-8	owl:Class	protein
PR:P01715	IGLV3-1	owl:Class	protein
PR:A0A075B6K4	IGLV3-10	owl:Class	protein
PR:A0A075B6K2	IGLV3-12	owl:Class	protein
PR:A0A075B6K0	IGLV3-16	owl:Class	protein
PR:P01714	IGLV3-19	owl:Class	protein
PR:P80748	IGLV3-21	owl:Class	protein
PR:A0A075B6J6	IGLV3-22	owl:Class	protein
PR:P01717	IGLV3-25	owl:Class	protein
PR:P01718	IGLV3-27	owl:Class	protein
PR:A0A075B6K6	IGLV4-3	owl:Class	protein
PR:A0A075B6I1	IGLV4-60	owl:Class	protein
PR:A0A075B6H9	IGLV4-69	owl:Class	protein
PR:A0A075B6J1	IGLV5-37	owl:Class	protein
PR:A0A0G2JS06	IGLV5-39	owl:Class	protein
PR:A0A087WSX0	IGLV5-45	owl:Class	protein
PR:A0A0A0MRZ9	IGLV5-52	owl:Class	protein
PR:P01721	IGLV6-57	owl:Class	protein
PR:P04211	IGLV7-43	owl:Class	protein
PR:A0A075B6I9	IGLV7-46	owl:Class	protein
PR:A0A075B6I0	IGLV8-61	owl:Class	protein
PR:A0A0B4J1Y8	IGLV9-49	owl:Class	protein
